label,text
1,ham,Hey are we still meeting today?
2,spam,WIN a brand new car! Click this link now!
3,ham,Don't forget to bring your notebook.
4,spam,Congratulations! You have won $5000. Claim now!
5,ham,I'll call you in 10 minutes.
6,spam,Free entry in a contest. Text WIN to 90099.
7,ham,Can you send me the assignment?
8,spam,Get cheap loans now with zero interest!
9,ham,Are you coming for dinner?
10,spam,You have been selected for a prize. Click here!
11,ham,Let's meet at the cafe at 6 pm.
12,spam,Lowest price medicines available online. Order now!
13,ham,I reached home safely.
14,spam,Claim your reward now. Limited time offer!
15,ham,Please check your email.
